OID,OBJECTID_1,MIN,MAX,RANGE,MEAN,STD
55,TUA3-11,0.805669069,0.888733208,0.083064139,0.864879543,0.013188642
56,TUB3-2,0.854035556,0.877552629,0.023517072,0.866439337,0.007392457
57,TUB3-3,0.834152639,0.883479059,0.04932642,0.864956474,0.009600395
58,TUB3-4,0.845052063,0.893118501,0.048066437,0.87046479,0.011602292
59,TUB3-5,0.84182024,0.893369079,0.051548839,0.869795142,0.011619267
60,TUB3-6,0.837134361,0.894022524,0.056888163,0.870052969,0.012616958
61,TUB3-7,0.83210963,0.890718162,0.058608532,0.865442869,0.013575941
62,TUB3-8,0.803178549,0.888625681,0.085447133,0.866241479,0.012541258
63,TUB3-9,0.74751842,0.88958776,0.14206934,0.86276223,0.021368989
64,TUB3-10,0.837104797,0.891007602,0.053902805,0.866249909,0.010911432
65,TUB3-11,0.823731542,0.89272064,0.068989098,0.869212003,0.010124606
66,TUB3-12,0.837747693,0.894907355,0.057159662,0.868683798,0.011274135
67,TDA1-1,0.703405201,0.91152972,0.208124518,0.870306998,0.013089719
68,TDA1-2,0.74903971,0.897847831,0.148808122,0.866838237,0.016019239
69,TDA1-3,0.735801399,0.896333098,0.1605317,0.857876471,0.026584649
70,TDA1-4,0.778904676,0.898438215,0.119533539,0.862344932,0.015822663
71,TDA1-5,0.785664558,0.897328913,0.111664355,0.862094608,0.019306442
72,TDA1-6,0.791903198,0.905042827,0.113139629,0.861259423,0.016692166
73,TDA1-7,0.825101972,0.896537662,0.07143569,0.863703613,0.012977643
74,TDA1-8,0.794353664,0.893961728,0.099608064,0.86552865,0.014187015
75,TDA1-9,0.800237179,0.903219044,0.102981865,0.864892476,0.017098956
76,TDA1-10,0.745128632,0.898671687,0.153543055,0.857527169,0.024056505
77,TDA1-11,0.692525744,0.887140155,0.19461441,0.848157407,0.02525904
78,TDB1-1,0.799132049,0.910626471,0.111494422,0.87025039,0.011849714
79,TDB1-2,0.84620142,0.9018206,0.05561918,0.874560436,0.0103068
80,TDB1-3,0.842547119,0.901423037,0.058875918,0.876040106,0.008965341
81,TDB1-4,0.847144485,0.896905005,0.04976052,0.874807437,0.008317084
82,TDB1-5,0.770743191,0.893590987,0.122847795,0.871876829,0.013615897
83,TDB1-6,0.846924245,0.89450413,0.047579885,0.873016893,0.010110704
84,TDB1-7,0.848963857,0.907154262,0.058190405,0.877112184,0.00948065
85,TDB1-8,0.854614496,0.896000028,0.041385531,0.871834052,0.009217505
86,TDB1-9,0.840227425,0.896707594,0.056480169,0.873354319,0.011292808
87,TDB1-10,0.830945611,0.897856295,0.066910684,0.874066868,0.011606979
88,TDA2-1,0.763448358,0.892417908,0.12896955,0.851597928,0.019157751
89,TDA2-2,0.688029051,0.894068718,0.206039667,0.853400313,0.025918421
90,TDA2-3,0.778121412,0.892056465,0.113935053,0.855477573,0.017988805
91,TDA2-4,0.764062524,0.878384173,0.114321649,0.850153531,0.015484803
92,TDA2-5,0.815394223,0.891682148,0.076287925,0.854109634,0.016680256
93,TDA2-6,0.761263847,0.886678398,0.12541455,0.854789687,0.018586084
94,TDA2-7,0.667612731,0.899982691,0.232369959,0.860640591,0.026821658
95,TDA2-8,0.615611732,0.897848308,0.282236576,0.858462888,0.037027068
96,TDA2-9,0.632626414,0.879029989,0.246403575,0.823736875,0.042011516
97,TDA2-10,0.759012759,0.882243872,0.123231113,0.833440609,0.027118049
98,TDB2-1,0.818181872,0.905737281,0.087555408,0.869943413,0.013805483
99,TDB2-2,0.816120923,0.910674751,0.094553828,0.863811896,0.015740936
100,TDB2-3,0.821525514,0.898811102,0.077285588,0.862971955,0.016409036
101,TDB2-4,0.798998654,0.899280608,0.100281954,0.864210738,0.018350774
102,TDB2-5,0.809909046,0.901420295,0.09151125,0.86389462,0.017806864
103,TDB2-6,0.803797543,0.906088114,0.102290571,0.868594385,0.017532467
104,TDB2-7,0.793556511,0.918489516,0.124933004,0.866867046,0.019488556
105,TDB2-8,0.820456684,0.905671895,0.085215211,0.861496365,0.018168733
106,TDB2-9,0.811727464,0.898049474,0.08632201,0.857216433,0.019651361
107,TDB2-10,0.788577557,0.900187194,0.111609638,0.857531333,0.02136542
108,TDA3-1,0.850924075,0.897635639,0.046711564,0.872823791,0.008358603
109,TDA3-2,0.855109155,0.898004472,0.042895317,0.873750085,0.009477051
110,TDA3-3,0.709840477,0.90022862,0.190388143,0.873783529,0.021463716
111,TDA3-4,0.720216036,0.897288859,0.177072823,0.873214488,0.017058249
112,TDA3-5,0.805141747,0.899321079,0.094179332,0.871960503,0.014081307
113,TDA3-6,0.591770768,0.900918186,0.309147418,0.858576913,0.047590865
114,TDA3-7,0.709948897,0.919859529,0.209910631,0.871300482,0.027571892
115,TDA3-8,0.806655407,0.916220725,0.109565318,0.878426933,0.019088448
116,TDA3-9,0.636068165,0.921107769,0.285039604,0.84892426,0.052594233
117,TSA1-1,0.679423273,0.919267476,0.239844203,0.876058024,0.016328238
118,TSA1-2,0.806378841,0.912801445,0.106422603,0.879836604,0.013853837
119,TSA1-3,0.772446811,0.912702918,0.140256107,0.878129827,0.015550325
120,TSA1-4,0.800861239,0.903581262,0.102720022,0.880352465,0.012169759
121,TSA1-5,0.841804743,0.910912633,0.06910789,0.880100981,0.011748609
122,TSA1-6,0.803462744,0.910447776,0.106985033,0.878655542,0.015840875
123,TSA1-7,0.79965657,0.908285677,0.108629107,0.87783612,0.014484978
124,TSA1-8,0.836879134,0.902309477,0.065430343,0.880249617,0.013165787
125,TSA1-9,0.811822176,0.911396682,0.099574506,0.87806688,0.014671416
126,TSA1-10,0.830488563,0.908350945,0.077862382,0.881693169,0.012412427
127,TSA1-11,0.793568492,0.910177767,0.116609275,0.876441306,0.015846893
128,TSA1-12,0.793643832,0.91574496,0.122101128,0.878337254,0.015862897
129,TSB1-1,0.703396142,0.91689831,0.213502169,0.874589265,0.021845682
130,TSB1-2,0.843172014,0.904909551,0.061737537,0.877751866,0.012396494
131,TSB1-3,0.744920194,0.904473901,0.159553707,0.878143169,0.016355098
132,TSB1-4,0.638359249,0.912688375,0.274329126,0.867283746,0.042028115
133,TSB1-5,0.619805515,0.91253072,0.292725205,0.859566654,0.05064328
134,TSB1-6,0.663865864,0.915165305,0.251299441,0.870082662,0.034384263
135,TSB1-7,0.678774238,0.915127695,0.236353457,0.865065571,0.041434996
136,TSB1-8,0.668417752,0.905067921,0.236650169,0.862960875,0.042567112
