OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
289,TTB8-7,323599.2494,0.796350241,0.895953238,0.099602997,0.869468865,0.012240291
290,TTB8-8,329856.6934,0.709021032,0.894508362,0.18548733,0.863192392,0.02296942
291,TTB8-9,304826.9172,0.73234731,0.897769213,0.165421903,0.860386784,0.022086877
292,TTA1-1,23241.93504,0.850885391,0.906682372,0.055796981,0.879269728,0.014014956
293,TTA1-2,56316.99644,0.776905477,0.902462482,0.125557005,0.850421804,0.032550966
294,TTA1-3,77771.09032,0.757488906,0.897667468,0.140178561,0.844543534,0.030492693
295,TTA1-4,121573.1987,0.61894244,0.88699919,0.26805675,0.807990977,0.065693942
296,TTA1-5,129618.4839,0.737905979,0.889476478,0.151570499,0.841559436,0.035418086
297,TTA1-6,3575.682314,0.739757836,0.760907114,0.021149278,0.748570532,0.008068912
298,TTA1-7,1787.841157,0.763033211,0.772253454,0.009220243,0.767643332,0.004610121
299,TTA2-1,2681.761735,0.824452162,0.869043231,0.044591069,0.849616388,0.01865081
300,TTA2-2,6257.444049,0.827516258,0.878553033,0.051036775,0.856631509,0.016700363
301,TTA2-3,182359.798,0.728099644,0.907196403,0.179096758,0.855582181,0.042409186
302,TTA2-4,134088.0868,0.767805636,0.900767267,0.132961631,0.870990785,0.020883868
303,TTA2-5,16984.49099,0.849601865,0.894087255,0.04448539,0.869840133,0.012104955
304,TTA3-1,18772.33215,0.668103516,0.872333229,0.204229712,0.814827317,0.045009527
305,TTA3-2,84922.45495,0.718826056,0.898107111,0.179281056,0.829623077,0.04310557
306,TTA3-3,168057.0687,0.704784572,0.898586452,0.19380188,0.855851608,0.032730771
307,TTA3-4,272645.7764,0.792231619,0.898844659,0.10661304,0.86356618,0.018195328
308,TTA3-5,289630.2674,0.785796106,0.904999197,0.119203091,0.865902885,0.020530315
309,TTA3-6,264600.4912,0.848037541,0.897370934,0.049333394,0.877042918,0.009884624
310,TTA3-7,289630.2674,0.815483868,0.902119935,0.086636066,0.876620532,0.01276734
311,TTA5-1,9833.126363,0.850132883,0.870753586,0.020620704,0.860270571,0.006368901
312,TTA5-2,3575.682314,0.875436187,0.882842183,0.007405996,0.879700199,0.002787586
