OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA,PERCENTAGE
42,TDA2-7,Intact forest 2016,7.068577359,100
43,TDA2-8,Intact forest 2016,7.068577957,100
44,TDA2-9,Intact forest 2016,7.068576659,100
45,TDA3-1,Intact forest 2016,6.83335775,96.67223678
46,TDA3-1,Non-forest,0.190735303,2.698352557
47,TDA3-1,Regrowth 1973-2016,0.044484308,0.629324228
48,TDA3-2,Intact forest 2016,6.761909929,95.66145689
49,TDA3-2,Non-forest,0.234056623,3.311223871
50,TDA3-2,Regrowth 1973-2016,0.072610531,1.027228884
51,TDA3-3,Intact forest 2016,6.592792255,93.26893122
52,TDA3-3,Non-forest,0.363140258,5.137383736
53,TDA3-3,Regrowth 1973-2016,0.112645158,1.593603002
54,TDA3-4,Intact forest 2016,6.425213794,90.89818095
55,TDA3-4,Non-forest,0.504601359,7.138648934
56,TDA3-4,Regrowth 1973-2016,0.138761425,1.963072589
57,TDA3-5,Intact forest 2016,6.262903086,88.60195415
58,TDA3-5,Non-forest,0.647614318,9.161868433
59,TDA3-5,Regrowth 1973-2016,0.158059522,2.236084817
60,TDA3-6,Intact forest 2016,6.078863561,85.99832748
61,TDA3-6,Non-forest,0.821768462,11.62564558
62,TDA3-6,Regrowth 1973-2016,0.167944402,2.37592727
63,TDA3-7,Intact forest 2016,5.893231388,83.37216944
64,TDA3-7,Non-forest,1.000069774,14.14809316
65,TDA3-7,Regrowth 1973-2016,0.175276685,2.479657852
66,TDA3-8,Intact forest 2016,5.712575842,80.81641627
67,TDA3-8,Non-forest,1.168230026,16.52707407
68,TDA3-8,Regrowth 1973-2016,0.18777141,2.656422046
69,TDA3-9,Intact forest 2016,5.585994243,79.02565296
70,TDA3-9,Non-forest,1.293235539,18.29554033
71,TDA3-9,Regrowth 1973-2016,0.189346983,2.67871185
72,TDA4-1,Intact forest 2016,7.06857684,100
73,TDA4-10,Intact forest 2016,7.068577616,100
74,TDA4-11,Intact forest 2016,7.068576333,100
75,TDA4-12,Intact forest 2016,7.068576825,100
76,TDA4-13,Intact forest 2016,7.068577364,100
77,TDA4-14,Intact forest 2016,7.06857761,100
78,TDA4-15,Intact forest 2016,7.06857741,100
79,TDA4-2,Intact forest 2016,7.068576861,100
80,TDA4-3,Intact forest 2016,7.068577119,100
81,TDA4-4,Intact forest 2016,7.06857688,100
82,TDA4-5,Intact forest 2016,7.068576858,100
83,TDA4-6,Intact forest 2016,7.068577447,100
84,TDA4-7,Intact forest 2016,7.068576908,100
85,TDA4-8,Intact forest 2016,7.068576668,100
86,TDA4-9,Intact forest 2016,7.068577566,100
87,TDB1-1,Intact forest 2016,7.064123822,99.93690888
88,TDB1-1,Non-forest,0.004453059,0.062997904
89,TDB1-10,Intact forest 2016,7.043226372,99.64127044
90,TDB1-10,Non-forest,0.021367573,0.302289322
91,TDB1-10,Regrowth 1973-2016,0.003983826,0.056359603
92,TDB1-2,Intact forest 2016,7.043102389,99.63951644
93,TDB1-2,Non-forest,0.020986404,0.296896882
94,TDB1-2,Regrowth 1973-2016,0.004487836,0.063489898
95,TDB1-3,Intact forest 2016,6.961333836,98.48272805
96,TDB1-3,Non-forest,0.101937312,1.442117968
97,TDB1-3,Regrowth 1973-2016,0.005306461,0.075071068
98,TDB1-4,Intact forest 2016,6.833923559,96.68024135
99,TDB1-4,Non-forest,0.20211469,2.859337959
100,TDB1-4,Regrowth 1973-2016,0.032539133,0.460334562
101,TDB1-5,Intact forest 2016,6.817854294,96.45290775
102,TDB1-5,Non-forest,0.227108888,3.21293352
103,TDB1-5,Regrowth 1973-2016,0.023613653,0.334064858
104,TDB1-6,Intact forest 2016,6.85984402,97.04694085
105,TDB1-6,Non-forest,0.201649258,2.852753439
106,TDB1-6,Regrowth 1973-2016,0.007084404,0.100223809
107,TDB1-7,Intact forest 2016,6.889498207,97.46646179
108,TDB1-7,Non-forest,0.17457965,2.46979683
109,TDB1-7,Regrowth 1973-2016,0.0045,0.063661977
110,TDB1-8,Intact forest 2016,6.969899898,98.60391303
111,TDB1-8,Non-forest,0.0941771,1.332333427
112,TDB1-8,Regrowth 1973-2016,0.0045,0.063661977
113,TDB1-9,Intact forest 2016,7.02328302,99.35912972
114,TDB1-9,Non-forest,0.040794793,0.57712827
115,TDB1-9,Regrowth 1973-2016,0.0045,0.063661977
116,TDB2-1,Intact forest 2016,7.068577679,100
117,TDB2-10,Intact forest 2016,7.068576172,100
118,TDB2-2,Intact forest 2016,7.068576388,100
119,TDB2-3,Intact forest 2016,7.068577549,100
120,TDB2-4,Intact forest 2016,7.068579299,100
121,TDB2-5,Intact forest 2016,7.068578207,100
122,TDB2-6,Intact forest 2016,7.068576443,100
123,TDB2-7,Intact forest 2016,7.068576234,100
124,TDB2-8,Intact forest 2016,7.068578098,100
125,TDB2-9,Intact forest 2016,7.068577391,100
126,TDB4-1,Intact forest 2016,7.068577391,100
127,TDB4-2,Intact forest 2016,7.068577391,100
128,TDB4-3,Intact forest 2016,7.068577391,100
129,TDB4-4,Intact forest 2016,7.068577391,100
130,TDB4-5,Intact forest 2016,7.068577391,100
131,TDB4-6,Intact forest 2016,7.068577391,100
132,TDB4-7,Intact forest 2016,7.068577391,100
133,TSA1-1,Intact forest 2016,6.663823143,94.27381272
134,TSA1-1,Non-forest,0.208421248,2.948557506
135,TSA1-1,Regrowth 1973-2016,0.196333002,2.777543795
136,TSA1-10,Intact forest 2016,7.010229966,99.17446678
137,TSA1-10,Non-forest,0.058347993,0.825455245
138,TSA1-11,Intact forest 2016,7.029190742,99.4427069
139,TSA1-11,Non-forest,0.039386743,0.557208428
140,TSA1-12,Intact forest 2016,7.049031705,99.7233991
141,TSA1-12,Non-forest,0.019545864,0.276517414
142,TSA1-2,Intact forest 2016,6.723460279,95.1175056
143,TSA1-2,Non-forest,0.177658906,2.513359391
144,TSA1-2,Regrowth 1973-2016,0.167458234,2.369049399
145,TSA1-3,Intact forest 2016,6.772536977,95.81179886
146,TSA1-3,Non-forest,0.147977752,2.09345695
147,TSA1-3,Regrowth 1973-2016,0.148062478,2.094655573
148,TSA1-4,Intact forest 2016,6.80882275,96.32513754
149,TSA1-4,Non-forest,0.127257437,1.800324458
150,TSA1-4,Regrowth 1973-2016,0.132496897,1.87444766
151,TSA1-5,Intact forest 2016,6.844570255,96.83086129
152,TSA1-5,Non-forest,0.1104924,1.5631477
153,TSA1-5,Regrowth 1973-2016,0.113515573,1.60591685
154,TSA1-6,Intact forest 2016,6.876225105,97.2786858
155,TSA1-6,Non-forest,0.103939234,1.470439364
156,TSA1-6,Regrowth 1973-2016,0.088413324,1.250792671
157,TSA1-7,Intact forest 2016,6.910302861,97.76078742
158,TSA1-7,Non-forest,0.103939234,1.470439364
159,TSA1-7,Regrowth 1973-2016,0.05433488,0.768681313
160,TSA1-8,Intact forest 2016,6.946804224,98.27717608
161,TSA1-8,Non-forest,0.100897837,1.427412394
162,TSA1-8,Regrowth 1973-2016,0.020875824,0.295332494
163,TSA1-9,Intact forest 2016,6.982976137,98.78890397
164,TSA1-9,Non-forest,0.081872361,1.158256977
165,TSA1-9,Regrowth 1973-2016,0.003729327,0.052759182
166,TSA2-1,Intact forest 2016,7.065731794,99.95965703
167,TSA2-1,Non-forest,0.002846224,0.040265834
168,TSA2-10,Intact forest 2016,7.059466915,99.87102713
169,TSA2-10,Non-forest,0.009108674,0.128861384
170,TSA2-2,Intact forest 2016,7.067961213,99.99119686
171,TSA2-2,Non-forest,0.000616208,0.008717563
172,TSA2-3,Intact forest 2016,7.067960253,99.99118327
173,TSA2-3,Non-forest,0.000616208,0.008717563
174,TSA2-4,Intact forest 2016,7.067962491,99.99121494
175,TSA2-4,Non-forest,0.000616208,0.008717563
176,TSA2-5,Intact forest 2016,7.0671938,99.98034019
177,TSA2-5,Non-forest,0.001382712,0.019561378
178,TSA2-6,Intact forest 2016,7.061568739,99.90076185
179,TSA2-6,Non-forest,0.007008574,0.099151039
180,TSA2-7,Intact forest 2016,7.058955064,99.86378591
181,TSA2-7,Non-forest,0.009621347,0.136114222
182,TSA2-8,Intact forest 2016,7.059468707,99.87105247
183,TSA2-8,Non-forest,0.009108674,0.128861384
184,TSA2-9,Intact forest 2016,7.059468137,99.87104441
185,TSA2-9,Non-forest,0.009108674,0.128861384
186,TSA3-1,Intact forest 2016,6.771327647,95.79469035
187,TSA3-1,Non-forest,0.15485258,2.190715879
188,TSA3-1,Regrowth 1973-2016,0.142396936,2.01450455
189,TSA3-2,Intact forest 2016,6.819245385,96.47258767
190,TSA3-2,Non-forest,0.127205018,1.799582877
191,TSA3-2,Regrowth 1973-2016,0.122127202,1.727746484
192,TSA3-3,Intact forest 2016,6.856054717,96.99333319
193,TSA3-3,Non-forest,0.110996999,1.570286312
194,TSA3-3,Regrowth 1973-2016,0.101526241,1.436302497
195,TSA3-4,Intact forest 2016,6.887858801,97.44326893
196,TSA3-4,Non-forest,0.103939234,1.470439364
197,TSA3-4,Regrowth 1973-2016,0.076778887,1.08619905
198,TSA3-5,Intact forest 2016,6.906119097,97.70159927
199,TSA3-5,Non-forest,0.103939234,1.470439364
200,TSA3-5,Regrowth 1973-2016,0.058519027,0.827874884
201,TSA3-6,Intact forest 2016,6.93134955,98.05853717
202,TSA3-6,Non-forest,0.103535989,1.464734623
203,TSA3-6,Regrowth 1973-2016,0.033692518,0.476651632
204,TSA3-7,Intact forest 2016,6.956053404,98.40802521
205,TSA3-7,Non-forest,0.103323026,1.461721801
206,TSA3-7,Regrowth 1973-2016,0.009201445,0.130173816
207,TSB1-1,Intact forest 2016,6.207756015,87.82178269
208,TSB1-1,Non-forest,0.588034948,8.318992766
209,TSB1-1,Regrowth 1973-2016,0.272786652,3.859141694
210,TSB1-10,Intact forest 2016,4.858949001,68.74006682
211,TSB1-10,Non-forest,1.816090971,25.69243156
212,TSB1-10,Regrowth 1973-2016,0.393537696,5.567419522
213,TSB1-11,Intact forest 2016,4.657750477,65.89368996
214,TSB1-11,Non-forest,2.000893601,28.30685397
215,TSB1-11,Regrowth 1973-2016,0.409932701,5.799361402
216,TSB1-12,Intact forest 2016,4.418512023,62.50915818
217,TSB1-12,Non-forest,2.206603661,31.21705601
218,TSB1-12,Regrowth 1973-2016,0.443462467,6.273710548
219,TSB1-13,Intact forest 2016,4.189076938,59.2633157
220,TSB1-13,Non-forest,2.397829661,33.92235051
221,TSB1-13,Regrowth 1973-2016,0.481670848,6.814248574
222,TSB1-14,Intact forest 2016,3.950718089,55.89122779
223,TSB1-14,Non-forest,2.603576444,36.83307207
224,TSB1-14,Regrowth 1973-2016,0.514283264,7.275619871
225,TSB1-15,Intact forest 2016,3.730905814,52.78152023
226,TSB1-15,Non-forest,2.783275316,39.37529107
227,TSB1-15,Regrowth 1973-2016,0.554396973,7.843112771
228,TSB1-2,Intact forest 2016,6.085877001,86.09754736
229,TSB1-2,Non-forest,0.698168949,9.877070169
230,TSB1-2,Regrowth 1973-2016,0.284530523,4.025283477
231,TSB1-3,Intact forest 2016,5.95313418,84.21962059
232,TSB1-3,Non-forest,0.820896603,11.6133113
233,TSB1-3,Regrowth 1973-2016,0.294546167,4.166975861
234,TSB1-4,Intact forest 2016,5.843856451,82.67365697
235,TSB1-4,Non-forest,0.923905206,13.07058493
236,TSB1-4,Regrowth 1973-2016,0.300815773,4.255672643
237,TSB1-5,Intact forest 2016,5.707918939,80.75053457
238,TSB1-5,Non-forest,1.04549353,14.79070784
239,TSB1-5,Regrowth 1973-2016,0.315164794,4.458669759
240,TSB1-6,Intact forest 2016,5.568267846,78.77487575
241,TSB1-6,Non-forest,1.169562742,16.54592815
242,TSB1-6,Regrowth 1973-2016,0.330746981,4.679112616
243,TSB1-7,Intact forest 2016,5.40497298,76.46472596
244,TSB1-7,Non-forest,1.31132591,18.55146672
245,TSB1-7,Regrowth 1973-2016,0.352278257,4.983717859
246,TSB1-8,Intact forest 2016,5.235469126,74.06673696
247,TSB1-8,Non-forest,1.466650617,20.74886182
248,TSB1-8,Regrowth 1973-2016,0.366457476,5.184312777
249,TSB1-9,Intact forest 2016,5.03892389,71.28619067
250,TSB1-9,Non-forest,1.655638207,23.4224893
251,TSB1-9,Regrowth 1973-2016,0.37401561,5.291238506
252,TSB2-1,Intact forest 2016,6.200781702,87.72311635
253,TSB2-1,Non-forest,0.594787574,8.414522885
254,TSB2-1,Regrowth 1973-2016,0.273008663,3.862282504
255,TSB2-2,Intact forest 2016,6.241861873,88.30428188
256,TSB2-2,Non-forest,0.571676625,8.087569846
257,TSB2-2,Regrowth 1973-2016,0.255039096,3.608065143
258,TSB2-3,Intact forest 2016,6.258821374,88.54420974
259,TSB2-3,Non-forest,0.573987618,8.12026371
260,TSB2-3,Regrowth 1973-2016,0.235768826,3.335446585
261,TSB2-4,Intact forest 2016,6.2207532,88.00565524
262,TSB2-4,Non-forest,0.616656375,8.723903142
263,TSB2-4,Regrowth 1973-2016,0.231167872,3.270356395
264,TSB2-5,Intact forest 2016,6.157490076,87.11066513
265,TSB2-5,Non-forest,0.689512894,9.754612033
266,TSB2-5,Regrowth 1973-2016,0.221574446,3.134637181
267,TSB2-6,Intact forest 2016,5.969014046,84.44427474
268,TSB2-6,Non-forest,0.879491212,12.44225545
269,TSB2-6,Regrowth 1973-2016,0.22007298,3.11339579
270,TSB2-7,Intact forest 2016,5.893719615,83.37907643
271,TSB2-7,Non-forest,0.985715369,13.94501986
272,TSB2-7,Regrowth 1973-2016,0.189143516,2.675833375
273,TSB2-8,Intact forest 2016,5.778702082,81.7519112
274,TSB2-8,Non-forest,1.130580103,15.99443662
275,TSB2-8,Regrowth 1973-2016,0.159295213,2.253566277
276,TSB2-9,Intact forest 2016,5.768536823,81.6081022
277,TSB2-9,Non-forest,1.182595318,16.73030138
278,TSB2-9,Regrowth 1973-2016,0.117445297,1.661511068
279,TSB3-1,Intact forest 2016,6.532534599,92.41645976
280,TSB3-1,Non-forest,0.279635925,3.95603909
281,TSB3-1,Regrowth 1973-2016,0.256405873,3.627401073
282,TSB3-10,Intact forest 2016,6.871468547,97.21139428
283,TSB3-10,Non-forest,0.103939234,1.470439364
284,TSB3-10,Regrowth 1973-2016,0.093170253,1.318089451
285,TSB3-2,Intact forest 2016,6.583704908,93.14037155
286,TSB3-2,Non-forest,0.242382974,3.429017634
287,TSB3-2,Regrowth 1973-2016,0.24248936,3.430522697
288,TSB3-3,Intact forest 2016,6.635595274,93.87447006
289,TSB3-3,Non-forest,0.215189573,3.044309709
290,TSB3-3,Regrowth 1973-2016,0.217791635,3.081121354
291,TSB3-4,Intact forest 2016,6.698633138,94.7662734
292,TSB3-4,Non-forest,0.184588566,2.611394023
293,TSB3-4,Regrowth 1973-2016,0.185355187,2.622239495
294,TSB3-5,Intact forest 2016,6.749771531,95.48973368
295,TSB3-5,Non-forest,0.155837689,2.204652316
296,TSB3-5,Regrowth 1973-2016,0.162968505,2.305532718
297,TSB3-6,Intact forest 2016,6.77368023,95.82797258
298,TSB3-6,Non-forest,0.141015472,1.994960839
299,TSB3-6,Regrowth 1973-2016,0.153881704,2.176980781
300,TSB3-7,Intact forest 2016,6.760578313,95.64261838
301,TSB3-7,Non-forest,0.145856564,2.063448281
302,TSB3-7,Regrowth 1973-2016,0.162142196,2.29384284
303,TSB3-8,Intact forest 2016,6.800053395,96.20107654
304,TSB3-8,Non-forest,0.12467526,1.763794126
305,TSB3-8,Regrowth 1973-2016,0.143848512,2.035040156
306,TSB3-9,Intact forest 2016,6.838416373,96.74380166
307,TSB3-9,Non-forest,0.107799306,1.525048209
308,TSB3-9,Regrowth 1973-2016,0.122362751,1.731078818
309,TTA1-1,Intact forest 2016,5.608669323,79.34643972
310,TTA1-1,Non-forest,0.062664305,0.886518574
311,TTA1-1,Regrowth 1973-2016,1.39724357,19.76695296
312,TTA1-2,Intact forest 2016,5.211263197,73.72429312
313,TTA1-2,Non-forest,0.062664305,0.886518574
314,TTA1-2,Regrowth 1973-2016,1.794650054,25.38910465
315,TTA1-3,Intact forest 2016,4.742364868,67.09073873
316,TTA1-3,Non-forest,0.062664305,0.886518574
317,TTA1-3,Regrowth 1973-2016,2.263547957,32.022653
318,TTA1-4,Intact forest 2016,4.921187889,69.62056697
319,TTA1-4,Non-forest,0.062664305,0.886518574
320,TTA1-4,Regrowth 1973-2016,2.084725319,29.49283018
321,TTA1-5,Intact forest 2016,5.567693498,78.76675039
322,TTA1-5,Non-forest,0.062664305,0.886518574
323,TTA1-5,Regrowth 1973-2016,1.438219022,20.34663703
324,TTA1-6,Intact forest 2016,6.051702639,85.61407903
325,TTA1-6,Non-forest,0.062664305,0.886518574
326,TTA1-6,Regrowth 1973-2016,0.954210308,13.49931442
327,TTA1-7,Intact forest 2016,6.541567656,92.54425138
328,TTA1-7,Non-forest,0.011080183,0.15675253
329,TTA1-7,Regrowth 1973-2016,0.515929377,7.298907608
330,TTA2-1,Intact forest 2016,5.510475671,77.95728372
331,TTA2-1,Non-forest,0.062664305,0.886518574
332,TTA2-1,Regrowth 1973-2016,1.495436985,21.15610562
333,TTA2-2,Intact forest 2016,5.124861884,72.50196458
334,TTA2-2,Non-forest,0.062664305,0.886518574
335,TTA2-2,Regrowth 1973-2016,1.881050981,26.61142772
336,TTA2-3,Intact forest 2016,5.323033656,75.30552166
337,TTA2-3,Non-forest,0.062664305,0.886518574
338,TTA2-3,Regrowth 1973-2016,1.682878996,23.80786763
339,TTA2-4,Intact forest 2016,5.65163404,79.95426613
340,TTA2-4,Non-forest,0.062664305,0.886518574
341,TTA2-4,Regrowth 1973-2016,1.354279237,19.15913199
342,TTA2-5,Intact forest 2016,5.942190594,84.06480052
343,TTA2-5,Non-forest,0.026677421,0.377408306
344,TTA2-5,Regrowth 1973-2016,1.099709212,15.55770285
345,TTA2-6,Intact forest 2016,6.222198903,88.02610776
346,TTA2-6,Non-forest,0.021604779,0.305645105
347,TTA2-6,Regrowth 1973-2016,0.824773938,11.66816437
348,TTA3-1,Intact forest 2016,6.950929349,98.33553467
349,TTA3-1,Non-forest,0.009308224,0.131684433
350,TTA3-1,Regrowth 1973-2016,0.108339714,1.532693429
351,TTA3-2,Intact forest 2016,7.05776529,99.84695405
352,TTA3-2,Non-forest,0.010811917,0.152957336
353,TTA3-3,Intact forest 2016,7.039790932,99.59266891
354,TTA3-3,Non-forest,0.028786057,0.407239401
355,TTA3-4,Intact forest 2016,7.055110552,99.8093972
356,TTA3-4,Non-forest,0.01346739,0.190524588
357,TTA3-5,Intact forest 2016,7.055998781,99.82196306
358,TTA3-5,Non-forest,0.012578427,0.177948345
359,TTA3-6,Intact forest 2016,7.047821419,99.70627705
360,TTA3-6,Non-forest,0.020754826,0.293620729
361,TTA3-7,Intact forest 2016,7.049988739,99.73693837
362,TTA3-7,Non-forest,0.018589398,0.262986191
363,TTA5-1,Intact forest 2016,6.53490603,92.45000865
364,TTA5-1,Non-forest,0.47809669,6.763684575
365,TTA5-1,Regrowth 1973-2016,0.055574474,0.786217979
366,TTA5-2,Intact forest 2016,6.400679868,90.55109691
367,TTA5-2,Non-forest,0.328622423,4.64905627
368,TTA5-2,Regrowth 1973-2016,0.339275266,4.799763165
369,TTA5-3,Intact forest 2016,6.198030851,87.68419977
370,TTA5-3,Non-forest,0.070393336,0.995861988
371,TTA5-3,Regrowth 1973-2016,0.800152761,11.31984596
372,TTA5-4,Intact forest 2016,5.4972512,77.77019572
373,TTA5-4,Non-forest,0.001150092,0.016270477
374,TTA5-4,Regrowth 1973-2016,1.570175638,22.21344127
375,TTA5-5,Intact forest 2016,4.73131558,66.93442328
376,TTA5-5,Non-forest,0.061851486,0.87501953
377,TTA5-5,Regrowth 1973-2016,2.275409481,32.19045924
378,TTA5-6,Intact forest 2016,3.922202673,55.48781717
379,TTA5-6,Non-forest,0.062664305,0.886518574
380,TTA5-6,Regrowth 1973-2016,3.083710261,43.6255761
381,TTA5-7,Intact forest 2016,3.286731414,46.49773788
382,TTA5-7,Non-forest,0.100543716,1.422402619
383,TTA5-7,Regrowth 1973-2016,3.681302226,52.079773
384,TTA5-8,Intact forest 2016,3.24204592,45.86556745
385,TTA5-8,Non-forest,0.131323447,1.857846733
386,TTA5-8,Regrowth 1973-2016,3.695207861,52.27649749
387,TTA6-1,Intact forest 2016,6.581006245,93.10219329
388,TTA6-1,Non-forest,0.48757092,6.89771752
389,TTA6-10,Intact forest 2016,6.952800853,98.36201103
390,TTA6-10,Non-forest,0.014799862,0.209375214
391,TTA6-10,Regrowth 1973-2016,0.100977298,1.428536549
392,TTA6-2,Intact forest 2016,6.608377396,93.48941586
393,TTA6-2,Non-forest,0.460200278,6.510502132
394,TTA6-3,Intact forest 2016,6.648088976,94.05121979
395,TTA6-3,Non-forest,0.420487746,5.948684738
396,TTA6-4,Intact forest 2016,6.807882849,96.31184066
397,TTA6-4,Non-forest,0.260695103,3.688081263
398,TTA6-5,Intact forest 2016,6.970406891,98.61108552
399,TTA6-5,Non-forest,0.098171786,1.388846661
400,TTA6-6,Intact forest 2016,7.067710574,99.98765104
401,TTA6-6,Non-forest,0.000867036,0.012266056
402,TTA6-7,Intact forest 2016,7.068578386,99.99992807
403,TTA6-8,Intact forest 2016,7.068578562,99.99993056
404,TTA6-9,Intact forest 2016,7.059479452,99.87120448
405,TTA6-9,Regrowth 1973-2016,0.009098382,0.128715777
406,TTA7-1,Intact forest 2016,6.581003062,93.10214825
407,TTA7-1,Non-forest,0.487574076,6.897762155
408,TTA7-10,Intact forest 2016,6.9696682,98.60063517
409,TTA7-10,Non-forest,0.024597139,0.347978329
410,TTA7-10,Regrowth 1973-2016,0.074313059,1.051314734
411,TTA7-2,Intact forest 2016,6.581003465,93.10215395
412,TTA7-2,Non-forest,0.487574076,6.897762155
413,TTA7-3,Intact forest 2016,6.595575516,93.3083063
414,TTA7-3,Non-forest,0.473001902,6.691608065
415,TTA7-4,Intact forest 2016,6.616012696,93.59743326
416,TTA7-4,Non-forest,0.452564553,6.402478731
417,TTA7-5,Intact forest 2016,6.733775181,95.26343162
418,TTA7-5,Non-forest,0.334801961,4.736478844
419,TTA7-6,Intact forest 2016,6.844835226,96.83460986
420,TTA7-6,Non-forest,0.223741792,3.165298854
421,TTA7-7,Intact forest 2016,6.98294879,98.7885171
422,TTA7-7,Non-forest,0.085627944,1.211387604
423,TTA7-8,Intact forest 2016,7.028078063,99.42696571
424,TTA7-8,Non-forest,0.04049987,0.57295596
425,TTA7-9,Intact forest 2016,7.031275822,99.47220473
426,TTA7-9,Non-forest,0.037301639,0.527710244
427,TTB1-1,Intact forest 2016,5.073211998,71.77126817
428,TTB1-1,Non-forest,0.062664305,0.886518574
429,TTB1-1,Regrowth 1973-2016,1.932700473,27.34211856
430,TTB1-2,Intact forest 2016,4.603968125,65.13282532
431,TTB1-2,Non-forest,0.062664305,0.886518574
432,TTB1-2,Regrowth 1973-2016,2.401944802,33.98056785
433,TTB1-3,Intact forest 2016,4.649062166,65.7707755
434,TTB1-3,Non-forest,0.062664305,0.886518574
435,TTB1-3,Regrowth 1973-2016,2.35685065,33.34261609
436,TTB1-4,Intact forest 2016,4.957117514,70.12886718
437,TTB1-4,Non-forest,0.062664305,0.886518574
438,TTB1-4,Regrowth 1973-2016,2.048795283,28.98452415
439,TTB1-5,Intact forest 2016,4.524589609,64.00984904
440,TTB1-5,Non-forest,0.062664305,0.886518574
441,TTB1-5,Regrowth 1973-2016,2.481323928,35.10355277
442,TTB2-1,Intact forest 2016,6.208314227,87.82967977
443,TTB2-1,Non-forest,0.025506887,0.360848634
444,TTB2-1,Regrowth 1973-2016,0.834755907,11.80938035
445,TTB2-2,Intact forest 2016,6.615583247,93.5913578
446,TTB2-2,Regrowth 1973-2016,0.452994312,6.408558572
447,TTB2-3,Intact forest 2016,6.923468972,97.9470498
448,TTB2-3,Non-forest,0.02454346,0.34721893
449,TTB2-3,Regrowth 1973-2016,0.120565302,1.705650107
450,TTB2-4,Intact forest 2016,6.982450701,98.78147057
451,TTB2-4,Non-forest,0.08527117,1.206340284
452,TTB2-4,Regrowth 1973-2016,0.000855143,0.012097795
453,TTB2-5,Intact forest 2016,6.949941627,98.32156125
454,TTB2-5,Non-forest,0.118636061,1.678356942
455,TTB2-6,Intact forest 2016,6.882739031,97.370839
456,TTB2-6,Non-forest,0.185838195,2.629072658
457,TTB2-7,Intact forest 2016,6.871411309,97.21058452
458,TTB2-7,Non-forest,0.197165611,2.78932281
459,TTB2-8,Intact forest 2016,6.828512413,96.60368929
460,TTB2-8,Non-forest,0.240064851,3.396222901
461,TTB3-1,Intact forest 2016,6.81193197,96.369124
462,TTB3-1,Non-forest,1.88481E-06,2.66646E-05
463,TTB3-1,Regrowth 1973-2016,0.256643099,3.630757135
464,TTB3-2,Intact forest 2016,7.010019453,99.17148864
465,TTB3-2,Non-forest,0.012378088,0.175114122
466,TTB3-2,Regrowth 1973-2016,0.046179243,0.653302654
467,TTB3-3,Intact forest 2016,7.010145389,99.17327027
468,TTB3-3,Non-forest,0.058431069,0.826630532
469,TTB3-4,Intact forest 2016,6.987021087,98.84612831
470,TTB3-4,Non-forest,0.08155579,1.153778408
471,TTB3-5,Intact forest 2016,6.980458512,98.75328687
472,TTB3-5,Non-forest,0.088119428,1.246634893
473,TTB3-6,Intact forest 2016,6.979027355,98.73304014
474,TTB3-6,Non-forest,0.089550539,1.266880975
475,TTB3-7,Intact forest 2016,6.903499902,97.66454524
476,TTB3-7,Non-forest,0.165077066,2.335362766
477,TTB3-8,Intact forest 2016,6.923719986,97.95060093
478,TTB3-8,Non-forest,0.144856872,2.049305532
479,TTB4-1,Intact forest 2016,5.934548146,83.95668199
