OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (sqaure kilometers),PERCENTAGE
213,TTA1-3,Regrowth 1973-2016,0.172886555,22.01840276
214,TTA1-4,Intact forest 2016,0.717732693,91.4086553
215,TTA1-4,Regrowth 1973-2016,0.06745848,8.591344699
216,TTA1-5,Intact forest 2016,0.785191173,100
217,TTA1-6,Intact forest 2016,0.785191173,100
218,TTA1-7,Intact forest 2016,0.785191173,100
219,TTA2-1,Intact forest 2016,0.729645229,92.92580637
220,TTA2-1,Regrowth 1973-2016,0.055545944,7.074193625
221,TTA2-2,Intact forest 2016,0.471635703,60.06635312
222,TTA2-2,Regrowth 1973-2016,0.31355547,39.93364688
223,TTA2-3,Intact forest 2016,0.450188013,57.33482858
224,TTA2-3,Regrowth 1973-2016,0.33500316,42.66517142
225,TTA2-4,Intact forest 2016,0.484515426,61.70668267
226,TTA2-4,Regrowth 1973-2016,0.300675748,38.29331733
227,TTA2-5,Intact forest 2016,0.597991291,76.1586874
228,TTA2-5,Regrowth 1973-2016,0.187199882,23.8413126
229,TTA2-6,Intact forest 2016,0.690887755,87.9897506
230,TTA2-6,Regrowth 1973-2016,0.094303418,12.0102494
231,TTA3-1,Intact forest 2016,0.785191173,100
232,TTA3-2,Intact forest 2016,0.785191173,100
233,TTA3-3,Intact forest 2016,0.785191173,100
234,TTA3-4,Intact forest 2016,0.785191173,100
235,TTA3-5,Intact forest 2016,0.785191173,100
236,TTA3-6,Intact forest 2016,0.785191173,100
237,TTA3-7,Intact forest 2016,0.785191173,100
238,TTA5-1,Intact forest 2016,0.785191173,100
239,TTA5-2,Intact forest 2016,0.785191173,100
240,TTA5-3,Intact forest 2016,0.785191173,100
241,TTA5-4,Intact forest 2016,0.775607035,98.77938797
242,TTA5-4,Regrowth 1973-2016,0.009584138,1.220612028
243,TTA5-5,Intact forest 2016,0.625803498,79.70078114
244,TTA5-5,Regrowth 1973-2016,0.159387675,20.29921886
245,TTA5-6,Intact forest 2016,0.438555017,55.8532791
246,TTA5-6,Regrowth 1973-2016,0.346636156,44.14672091
247,TTA5-7,Intact forest 2016,0.405742575,51.67436778
248,TTA5-7,Regrowth 1973-2016,0.379448599,48.32563222
249,TTA5-8,Intact forest 2016,0.488474806,62.21093953
250,TTA5-8,Regrowth 1973-2016,0.296716367,37.78906047
251,TTA6-1,Intact forest 2016,0.647479704,82.46140895
252,TTA6-1,Non-forest,0.137711469,17.53859105
253,TTA6-10,Intact forest 2016,0.785191173,100
254,TTA6-2,Intact forest 2016,0.781503304,99.53032219
255,TTA6-2,Non-forest,0.003687869,0.469677809
256,TTA6-3,Intact forest 2016,0.785191173,100
257,TTA6-4,Intact forest 2016,0.785191173,100
258,TTA6-5,Intact forest 2016,0.785191173,100
259,TTA6-6,Intact forest 2016,0.785191173,100
260,TTA6-7,Intact forest 2016,0.785191173,100
261,TTA6-8,Intact forest 2016,0.785191173,100
262,TTA6-9,Intact forest 2016,0.785191173,100
263,TTA7-1,Intact forest 2016,0.420797366,53.5917087
264,TTA7-1,Non-forest,0.364393807,46.4082913
265,TTA7-10,Intact forest 2016,0.783958747,99.84304131
266,TTA7-10,Non-forest,0.001232426,0.156958689
267,TTA7-2,Intact forest 2016,0.535145033,68.1547439
268,TTA7-2,Non-forest,0.25004614,31.8452561
269,TTA7-3,Intact forest 2016,0.646964877,82.39584188
270,TTA7-3,Non-forest,0.138226296,17.60415812
271,TTA7-4,Intact forest 2016,0.733956535,93.47488355
272,TTA7-4,Non-forest,0.051234638,6.525116453
273,TTA7-5,Intact forest 2016,0.757754796,96.50577109
274,TTA7-5,Non-forest,0.027436377,3.49422891
275,TTA7-6,Intact forest 2016,0.781536819,99.5345905
276,TTA7-6,Non-forest,0.003654354,0.465409503
277,TTA7-7,Intact forest 2016,0.785191173,100
278,TTA7-8,Intact forest 2016,0.785191173,100
279,TTA7-9,Intact forest 2016,0.785191173,100
280,TTB1-1,Intact forest 2016,0.610438423,77.74392319
281,TTB1-1,Regrowth 1973-2016,0.174752751,22.25607681
282,TTB1-2,Intact forest 2016,0.499985702,63.67693873
283,TTB1-2,Non-forest,0.009871565,1.257217986
284,TTB1-2,Regrowth 1973-2016,0.275333906,35.06584328
285,TTB1-3,Intact forest 2016,0.346493694,44.12857729
286,TTB1-3,Non-forest,0.022815586,2.905736488
287,TTB1-3,Regrowth 1973-2016,0.415881893,52.96568622
288,TTB1-4,Intact forest 2016,0.364908983,46.4739029
289,TTB1-4,Regrowth 1973-2016,0.42028219,53.5260971
290,TTB1-5,Intact forest 2016,0.154967504,19.73627684
291,TTB1-5,Non-forest,0.039799422,5.068755619
292,TTB1-5,Regrowth 1973-2016,0.590424248,75.19496754
293,TTB2-1,Intact forest 2016,0.785191173,100
294,TTB2-2,Intact forest 2016,0.785191173,100
295,TTB2-3,Intact forest 2016,0.785191173,100
296,TTB2-4,Intact forest 2016,0.785191173,100
297,TTB2-5,Intact forest 2016,0.785191173,100
298,TTB2-6,Intact forest 2016,0.765717125,97.5198335
299,TTB2-6,Non-forest,0.019474048,2.480166501
300,TTB2-7,Intact forest 2016,0.72703852,92.59382231
301,TTB2-7,Non-forest,0.058152653,7.40617769
302,TTB2-8,Intact forest 2016,0.722746015,92.0471396
303,TTB2-8,Non-forest,0.062445158,7.952860405
304,TTB3-1,Intact forest 2016,0.785191173,100
305,TTB3-2,Intact forest 2016,0.785191173,100
306,TTB3-3,Intact forest 2016,0.785191173,100
307,TTB3-4,Intact forest 2016,0.785191173,100
308,TTB3-5,Intact forest 2016,0.775599907,98.77848018
309,TTB3-5,Non-forest,0.009591266,1.221519819
310,TTB3-6,Intact forest 2016,0.773067555,98.4559661
311,TTB3-6,Non-forest,0.012123618,1.544033902
312,TTB3-7,Intact forest 2016,0.748093453,95.27532641
313,TTB3-7,Non-forest,0.03709772,4.724673594
314,TTB3-8,Intact forest 2016,0.72976651,92.94125237
315,TTB3-8,Non-forest,0.055424663,7.058747626
316,TTB4-1,Intact forest 2016,0.785191173,100
317,TTB4-2,Intact forest 2016,0.737991069,93.98871176
318,TTB4-2,Regrowth 1973-2016,0.047200105,6.011288237
319,TTB4-3,Intact forest 2016,0.774874048,98.68603657
320,TTB4-3,Regrowth 1973-2016,0.010317125,1.313963431
321,TTB4-4,Intact forest 2016,0.734827013,93.58574555
322,TTB4-4,Regrowth 1973-2016,0.05036416,6.414254449
323,TTB4-5,Intact forest 2016,0.73904844,94.12337593
324,TTB4-5,Regrowth 1973-2016,0.046142733,5.876624065
325,TTB4-6,Intact forest 2016,0.641582326,81.71033342
326,TTB4-6,Non-forest,0.069909283,8.903472913
327,TTB4-6,Regrowth 1973-2016,0.073699564,9.386193669
328,TTB4-7,Intact forest 2016,0.38059543,48.4716898
329,TTB4-7,Non-forest,0.223769579,28.49873845
330,TTB4-7,Regrowth 1973-2016,0.180826165,23.02957174
331,TTB4-8,Intact forest 2016,0.152094055,19.37032158
332,TTB4-8,Non-forest,0.472197568,60.13791088
333,TTB4-8,Regrowth 1973-2016,0.16089955,20.49176754
334,TTB4-9,Intact forest 2016,0.041856941,5.330796129
335,TTB4-9,Non-forest,0.663129903,84.45457946
336,TTB4-9,Regrowth 1973-2016,0.080204329,10.21462441
337,TTB5-1,Intact forest 2016,0.785191173,100
338,TTB5-10,Non-forest,0.014293444,1.820377592
339,TTB5-10,Regrowth 1973-2016,0.770897729,98.17962241
340,TTB5-2,Intact forest 2016,0.785191173,100
341,TTB5-3,Intact forest 2016,0.785191173,100
342,TTB5-4,Intact forest 2016,0.785191173,100
343,TTB5-5,Intact forest 2016,0.756970866,96.40593169
344,TTB5-5,Regrowth 1973-2016,0.028220307,3.594068315
345,TTB5-6,Intact forest 2016,0.631782307,80.46222733
346,TTB5-6,Regrowth 1973-2016,0.153408866,19.53777267
