OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Sqaure kilometers),PERCENTAGE
304,TTA3-6,Intact forest 2016,3.130932589,99.6606796
305,TTA3-6,Non-forest,0.010656489,0.339206588
306,TTA3-7,Intact forest 2016,3.139882138,99.94555259
307,TTA3-7,Non-forest,0.001707164,0.054340724
308,TTA5-1,Intact forest 2016,3.042253222,96.83792767
309,TTA5-1,Non-forest,0.099335386,3.161943529
310,TTA5-2,Intact forest 2016,3.131814722,99.68875876
311,TTA5-2,Non-forest,0.009773802,0.311109789
312,TTA5-3,Intact forest 2016,3.03766533,96.69189054
313,TTA5-3,Regrowth 1973-2016,0.103923272,3.307980496
314,TTA5-4,Intact forest 2016,2.759341328,87.83256242
315,TTA5-4,Regrowth 1973-2016,0.382247377,12.16731191
316,TTA5-5,Intact forest 2016,2.371984835,75.50262227
317,TTA5-5,Regrowth 1973-2016,0.769603747,24.4972481
318,TTA5-6,Intact forest 2016,1.889401145,60.14150633
319,TTA5-6,Regrowth 1973-2016,1.252187613,39.85836965
320,TTA5-7,Intact forest 2016,1.407229564,44.79350822
321,TTA5-7,Regrowth 1973-2016,1.734358717,55.20635258
322,TTA5-8,Intact forest 2016,1.238489036,39.42233042
323,TTA5-8,Non-forest,0.004215304,0.134177285
324,TTA5-8,Regrowth 1973-2016,1.898884271,60.44336362
325,TTA6-1,Intact forest 2016,2.72582669,86.76575835
326,TTA6-1,Non-forest,0.415761735,13.23410706
327,TTA6-10,Intact forest 2016,3.141589331,99.99989424
328,TTA6-2,Intact forest 2016,2.84972381,90.70952617
329,TTA6-2,Non-forest,0.29186445,9.290333992
330,TTA6-3,Intact forest 2016,3.020482855,96.14495539
331,TTA6-3,Non-forest,0.121105979,3.854923028
332,TTA6-4,Intact forest 2016,3.138889339,99.91395082
333,TTA6-4,Non-forest,0.002699467,0.085926714
334,TTA6-5,Intact forest 2016,3.141589194,99.99988987
335,TTA6-6,Intact forest 2016,3.141588845,99.99987878
336,TTA6-7,Intact forest 2016,3.141589547,99.99990111
337,TTA6-8,Intact forest 2016,3.141588837,99.9998785
338,TTA6-9,Intact forest 2016,3.141589849,99.99991072
339,TTA7-1,Intact forest 2016,2.671432779,85.0343464
340,TTA7-1,Non-forest,0.470156059,14.96553218
341,TTA7-10,Intact forest 2016,3.140356272,99.96064475
342,TTA7-10,Non-forest,0.001232426,0.039229331
343,TTA7-2,Intact forest 2016,2.6809724,85.33800194
344,TTA7-2,Non-forest,0.460616034,14.66186373
345,TTA7-3,Intact forest 2016,2.776510305,88.37906793
346,TTA7-3,Non-forest,0.365078341,11.62080452
347,TTA7-4,Intact forest 2016,2.899418598,92.29136041
348,TTA7-4,Non-forest,0.242170092,7.708513432
349,TTA7-5,Intact forest 2016,3.023491927,96.2407371
350,TTA7-5,Non-forest,0.118097346,3.759155269
351,TTA7-6,Intact forest 2016,3.099738039,98.66772624
352,TTA7-6,Non-forest,0.041850676,1.332148399
353,TTA7-7,Intact forest 2016,3.117622309,99.23700023
354,TTA7-7,Non-forest,0.023965923,0.762859029
355,TTA7-8,Intact forest 2016,3.125564042,99.48979345
356,TTA7-8,Non-forest,0.016024906,0.510088597
357,TTA7-9,Intact forest 2016,3.132721186,99.71761241
358,TTA7-9,Non-forest,0.008866412,0.282226654
359,TTB1-1,Intact forest 2016,2.158358711,68.70269158
360,TTB1-1,Non-forest,0.062664305,1.994666791
361,TTB1-1,Regrowth 1973-2016,0.920565327,29.30250445
362,TTB1-2,Intact forest 2016,1.967003913,62.61167918
363,TTB1-2,Non-forest,0.062664305,1.994666791
364,TTB1-2,Regrowth 1973-2016,1.111920225,35.39352003
365,TTB1-3,Intact forest 2016,1.799777762,57.28870546
366,TTB1-3,Non-forest,0.062664305,1.994666791
367,TTB1-3,Regrowth 1973-2016,1.279146523,40.71649841
368,TTB1-4,Intact forest 2016,1.912223165,60.8679538
369,TTB1-4,Non-forest,0.062664305,1.994666791
