OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Square Kilometers),PERCENTAGE
242,TTB2-7,Non-forest,0.004693597,14.95970032
243,TTB2-8,Intact forest 2016,0.022698349,72.34548119
244,TTB2-8,Non-forest,0.008676588,27.65451881
245,TTB3-1,Intact forest 2016,0.031374937,100
246,TTB3-2,Intact forest 2016,0.031374937,100
247,TTB3-3,Intact forest 2016,0.031374937,100
248,TTB3-4,Intact forest 2016,0.031374937,100
249,TTB3-5,Intact forest 2016,0.031374937,100
250,TTB3-6,Intact forest 2016,0.031374937,100
251,TTB3-7,Intact forest 2016,0.031374937,100
252,TTB3-8,Intact forest 2016,0.018785736,59.87497661
253,TTB3-8,Non-forest,0.012589201,40.12502339
254,TTB4-1,Intact forest 2016,0.031374937,100
255,TTB4-2,Intact forest 2016,0.031374937,100
256,TTB4-3,Intact forest 2016,0.031374937,100
257,TTB4-4,Intact forest 2016,0.031374937,100
258,TTB4-5,Intact forest 2016,0.031374937,100
259,TTB4-6,Intact forest 2016,0.031336913,99.87880816
260,TTB4-6,Regrowth 1973-2016,3.80E-05,0.121191837
261,TTB4-7,Intact forest 2016,0.013460084,42.90075158
262,TTB4-7,Non-forest,0.006384755,20.34985635
263,TTB4-7,Regrowth 1973-2016,0.011530099,36.74939207
264,TTB4-8,Intact forest 2016,0.003725863,11.87528376
265,TTB4-8,Non-forest,0.013244024,42.21211359
266,TTB4-8,Regrowth 1973-2016,0.01440505,45.91260265
267,TTB4-9,Non-forest,0.031374937,100
268,TTB5-1,Intact forest 2016,0.031374937,100
269,TTB5-10,Regrowth 1973-2016,0.031374937,100
270,TTB5-2,Intact forest 2016,0.031374937,100
271,TTB5-3,Intact forest 2016,0.031374937,100
272,TTB5-4,Intact forest 2016,0.031374937,100
273,TTB5-5,Intact forest 2016,0.031374937,100
274,TTB5-6,Intact forest 2016,0.024818574,79.10318258
275,TTB5-6,Regrowth 1973-2016,0.006556363,20.89681742
276,TTB5-7,Intact forest 2016,0.003058865,9.749389121
277,TTB5-7,Regrowth 1973-2016,0.028316072,90.25061088
278,TTB5-8,Intact forest 2016,0.014091063,44.91184454
279,TTB5-8,Regrowth 1973-2016,0.017283874,55.08815546
280,TTB5-9,Regrowth 1973-2016,0.031374937,100
281,TTB6-1,Intact forest 2016,0.031374937,100
282,TTB6-2,Intact forest 2016,0.031374937,100
283,TTB6-3,Intact forest 2016,0.029363926,93.59038984
284,TTB6-3,Non-forest,0.002011011,6.409610157
285,TTB6-4,Intact forest 2016,0.02589021,82.51876391
286,TTB6-4,Non-forest,0.005484727,17.48123609
287,TTB6-5,Intact forest 2016,0.020481267,65.27906804
288,TTB6-5,Non-forest,0.010893671,34.72093196
289,TTB6-6,Intact forest 2016,0.031374937,100
290,TTB6-7,Intact forest 2016,0.029095597,92.7351551
