Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start P cloudCover)psi(forest1500 P height100),11.67,0.0011,6,15.94,1.46,0
p(start P cloudCover)psi(forest1500 P water),11.71,0.0011,6,15.98,5.39,1
p(start P cloudCover)psi(forest1500 P ndvi500 P und P water P ele P distRoad),11.76,0.001,10,7.42,0,1
p(cloudCover)psi(ndvi500 P water P ele P height100),11.79,0.001,7,13.94,2.51,1
p(cloudCover)psi(forest1500 P ndvi500 P und P distRoad),11.79,0.001,7,13.94,5.43,1
p(cloudCover)psi(disturb500 P forest1500 P water P distRoad),11.79,0.001,7,13.94,3.8,1
p(cloudCover)psi(disturb500 P ele P height100 P distRoad),11.79,0.001,7,13.94,0,1
p(cloudCover)psi(ndvi500 P water P height100),11.81,0.001,6,16.08,4.86,1
p(cloudCover)psi(water P height100 P distRoad),11.81,0.001,6,16.08,4.99,0
p(start P cloudCover)psi(ndvi500 P water),11.88,0.001,6,16.15,-0.46,1
p(cloudCover)psi(ndvi500 P und P height100),11.91,0.001,6,16.18,3.94,1
p(cloudCover)psi(und P ele P height100 P distRoad),11.96,9e-04,7,14.1,5.87,1
p(start P cloudCover)psi(water P ele P height100),12.04,9e-04,7,14.18,5.64,0
p(cloudCover)psi(disturb500 P forest1500 P ele P height100 P distRoad),12.06,9e-04,8,12.06,0,1
p(start P cloudCover)psi(forest1500 P und P ele P height100 P distRoad),12.11,9e-04,9,9.95,5.13,0
p(cloudCover)psi(water P ele P distRoad),12.11,9e-04,6,16.38,0,0
p(cloudCover)psi(und P water P ele P height100),12.12,9e-04,7,14.26,4.98,1
p(cloudCover)psi(ndvi500 P ele P distRoad),12.13,9e-04,6,16.4,4.54,1
p(cloudCover)psi(und P ele P distRoad),12.16,8e-04,6,16.43,0,0
p(start P cloudCover)psi(ndvi500 P und),12.16,8e-04,6,16.43,3.2,0
p(cloudCover)psi(disturb500 P und P height100),12.19,8e-04,6,16.45,3.01,1
p(cloudCover)psi(und P water P height100),12.19,8e-04,6,16.45,0,1
p(start P cloudCover)psi(water P height100),12.23,8e-04,6,16.5,1.77,1
p(cloudCover)psi(ndvi500 P water P ele),12.25,8e-04,6,16.52,0,1
p(cloudCover)psi(und P water P ele),12.26,8e-04,6,16.53,4.63,0
p(cloudCover)psi(ndvi500 P und P ele P distRoad),12.27,8e-04,7,14.41,0,1
p(cloudCover)psi(ndvi500 P ele P height100 P distRoad),12.27,8e-04,7,14.41,-0.44,1
p(start P cloudCover)psi(forest1500 P water P ele P distRoad),12.27,8e-04,8,12.27,4.21,1
p(start P cloudCover)psi(forest1500 P ele P height100),12.28,8e-04,7,14.42,5.03,1
p(cloudCover)psi(forest1500 P water P ele P height100 P distRoad),12.32,8e-04,8,12.32,4.67,1
p(cloudCover)psi(ndvi500 P und P ele),12.32,8e-04,6,16.59,5.05,1
p(cloudCover)psi(ndvi500 P water P distRoad),12.34,8e-04,6,16.61,0,0
p(cloudCover)psi(disturb500 P forest1500 P ndvi500),12.36,8e-04,6,16.63,0,1
p(cloudCover)psi(und P water P distRoad),12.4,8e-04,6,16.67,0,1
p(start P cloudCover)psi(forest1500 P und P ele P distRoad),12.4,8e-04,8,12.4,0,1
p(cloudCover)psi(forest1500 P ndvi500 P ele P height100),12.41,7e-04,7,14.56,1.66,1
p(cloudCover)psi(forest1500 P und P ele P height100),12.41,7e-04,7,14.56,2.84,1
p(start P cloudCover)psi(ndvi500 P height100 P distRoad),12.47,7e-04,7,14.62,4.89,1
p(start P cloudCover)psi(ndvi500 P und P distRoad),12.53,7e-04,7,14.67,0,1
p(start P cloudCover)psi(forest1500 P ndvi500 P und),12.53,7e-04,7,14.67,4.34,0
p(start P cloudCover)psi(forest1500 P ele P height100 P distRoad),12.54,7e-04,8,12.54,0.24,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und),12.55,7e-04,7,14.7,1.51,1
p(cloudCover)psi(disturb500 P forest1500 P ele P height100),12.55,7e-04,7,14.7,4.96,1
p(cloudCover)psi(disturb500 P forest1500 P und P height100 P distRoad),12.56,7e-04,8,12.56,0,1
p(cloudCover)psi(forest1500 P und P ele P height100 P distRoad),12.56,7e-04,8,12.56,4.32,1
p(start P cloudCover)psi(disturb500 P height100 P distRoad),12.58,7e-04,7,14.73,4.1,1
p(start P cloudCover)psi(und P water P height100 P distRoad),12.65,7e-04,8,12.65,0,1
p(cloudCover)psi(ndvi500 P und P water),12.66,7e-04,6,16.92,1.59,1
p(start P cloudCover)psi(water P height100 P distRoad),12.67,7e-04,7,14.81,0,1
p(cloudCover)psi(disturb500 P forest1500 P und P ele),12.69,7e-04,7,14.83,3.54,1
p(cloudCover)psi(forest1500 P ndvi500 P und P ele),12.69,7e-04,7,14.83,3,1
p(start P cloudCover)psi(disturb500 P forest1500 P ele P distRoad),12.71,6e-04,8,12.71,0,1
p(start P cloudCover)psi(ndvi500 P und P water P ele P height100 P distRoad),12.75,6e-04,10,8.41,4.61,1
p(start P cloudCover)psi(forest1500 P und P ele),12.76,6e-04,7,14.9,4.85,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P ele P distRoad),12.79,6e-04,8,12.79,0,1
p(cloudCover)psi(disturb500 P forest1500 P und P ele P distRoad),12.79,6e-04,8,12.79,0,1
p(cloudCover)psi(disturb500 P forest1500 P water P height100 P distRoad),12.79,6e-04,8,12.79,0,1
p(cloudCover)psi(forest1500 P ndvi500 P water P height100 P distRoad),12.79,6e-04,8,12.79,0,1
p(cloudCover)psi(forest1500 P ndvi500 P und P water),12.82,6e-04,7,14.96,2.7,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P height100),12.82,6e-04,7,14.96,5.26,1
p(cloudCover)psi(disturb500 P und P height100 P distRoad),12.82,6e-04,7,14.96,0,1
p(cloudCover)psi(disturb500 P water P height100 P distRoad),12.82,6e-04,7,14.96,2.91,1
p(start P cloudCover)psi(forest1500 P ndvi500 P water P distRoad),12.88,6e-04,8,12.88,3.33,1
p(start P cloudCover)psi(forest1500 P ndvi500 P height100),12.94,6e-04,7,15.08,2.32,1
p(cloudCover)psi(forest1500 P ndvi500 P und P height100),12.95,6e-04,7,15.09,0,1
p(cloudCover)psi(disturb500 P ndvi500 P height100 P distRoad),12.95,6e-04,7,15.09,5.43,0
