Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
78,TDA1-10,78,19,18315.302734042590600,12.078166961669922,56.275558471679688,44.197391510009766,35.673719556708086,13.726795994800561,677.800671577453613
79,TDA1-11,79,21,20243.229337626024062,18.228742599487305,55.509948730468750,37.281206130981445,31.800921303885325,10.466831344142252,667.819347381591797
80,TDB1-1,80,32,30846.825657334891730,2.347573518753052,40.461357116699219,38.113783597946167,10.844680942595005,6.718071926623222,347.029790163040161
81,TDB1-2,81,22,21207.192639417738974,1.138740420341492,25.168483734130859,24.029743313789368,10.717705504460769,5.100739366643832,235.789521098136902
82,TDB1-3,82,19,18315.302734042590600,0.000000000000000,17.062116622924805,17.062116622924805,6.787494963721225,6.094459180101703,128.962404310703278
83,TDB1-4,83,22,21207.192639417738974,0.000000000000000,24.582027435302734,24.582027435302734,13.123814777894454,6.550172129411540,288.723925113677979
84,TDB1-5,84,19,18315.302734042590600,0.000000000000000,16.521551132202148,16.521551132202148,5.987358620292262,3.959733187641933,113.759813785552979
85,TDB1-6,85,21,20243.229337626024062,1.273150563240051,30.047431945800781,28.774281382560730,10.441710284778051,6.920291707219553,219.275915980339050
86,TDB1-7,86,20,19279.266035834305512,0.569370210170746,12.500237464904785,11.930867254734039,6.905288246273995,3.352186917038608,138.105764925479889
87,TDB1-8,87,21,20243.229337626024062,0.805211126804352,14.234255790710449,13.429044663906097,6.509800919464657,4.211316102978402,136.705819308757782
88,TDB1-9,88,19,18315.302734042590600,2.846851110458374,26.517009735107422,23.670158624649048,12.476905521593595,8.004458559359257,237.061204910278320
89,TDB1-10,89,20,19279.266035834305512,1.273150563240051,20.850149154663086,19.576998591423035,8.345075291395187,6.488868629270144,166.901505827903748
90,TDA2-1,90,20,19279.266035834305512,15.748003005981445,47.925281524658203,32.177278518676758,33.356626892089842,8.376382292498359,667.132537841796875
91,TDA2-2,91,20,19279.266035834305512,18.960969924926758,56.206390380859375,37.245420455932617,42.707136440277097,9.477903811924692,854.142728805541992
92,TDA2-3,92,20,19279.266035834305512,39.401901245117188,73.384735107421875,33.982833862304688,54.765453529357913,9.597740491893893,1095.309070587158203
93,TDA2-4,93,20,19279.266035834305512,3.463343858718872,66.203826904296875,62.740483045578003,35.110428154468536,15.481549911823871,702.208563089370728
94,TDA2-5,94,21,20243.229337626024062,17.687171936035156,47.370780944824219,29.683609008789063,26.904783248901367,7.878731697955151,565.000448226928711
95,TDA2-6,95,21,20243.229337626024062,4.446923732757568,36.639316558837891,32.192392826080322,19.620752902258012,8.748621585334526,412.035810947418213
96,TDA2-7,96,24,23135.119243001168797,11.528868675231934,51.221176147460938,39.692307472229004,32.851761897404991,9.099851853149479,788.442285537719727
97,TDA2-8,97,21,20243.229337626024062,19.665952682495117,67.476982116699219,47.811029434204102,44.537510826474147,12.833768149887414,935.287727355957031
98,TDA2-9,98,13,12531.522923292299311,5.155866622924805,65.042915344238281,59.887048721313477,30.860285685612606,16.253456240008973,401.183713912963867
99,TDA2-10,99,18,17351.339432250875689,2.415633440017700,69.428153991699219,67.012520551681519,25.064534240298801,21.746054230158904,451.161616325378418
100,TDB2-1,100,32,30846.825657334891730,1.610422253608704,31.413555145263672,29.803132891654968,13.601657684892416,7.367638246997236,435.253045916557312
101,TDB2-2,101,22,21207.192639417738974,16.928594589233398,46.150608062744141,29.222013473510742,35.183746424588293,7.737268694356931,774.042421340942383
102,TDB2-3,102,20,19279.266035834305512,8.211574554443359,66.078842163085938,57.867267608642578,42.817562961578368,15.148530305638301,856.351259231567383
103,TDB2-4,103,20,19279.266035834305512,2.052893638610840,67.735916137695313,65.683022499084473,20.037652194499969,15.643459223104333,400.753043889999390
104,TDB2-5,104,22,21207.192639417738974,4.554961681365967,27.806028366088867,23.251066684722900,17.046506296504628,4.960886718156235,375.023138523101807
