OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
283,TTB7-8,283,35,31287.2202,0.5500,0.6075,0.0575,0.5788,0.0159,20.2592
284,TTB7-9,284,37,33075.0614,0.4618,0.5251,0.0633,0.4953,0.0173,18.3250
285,TTB8-1,285,35,31287.2202,0.6939,0.7417,0.0479,0.7186,0.0134,25.1496
286,TTB8-2,286,37,33075.0614,0.6188,0.6709,0.0521,0.6450,0.0141,23.8657
287,TTB8-3,287,32,28605.4585,0.5556,0.6026,0.0469,0.5793,0.0132,18.5364
288,TTB8-4,288,32,28605.4585,0.6278,0.6695,0.0418,0.6489,0.0120,20.7651
289,TTB8-5,289,36,32181.1408,0.7018,0.7427,0.0409,0.7237,0.0118,26.0550
290,TTB8-6,290,36,32181.1408,0.7518,0.7886,0.0368,0.7696,0.0104,27.7056
291,TTB8-7,291,35,31287.2202,0.7927,0.8261,0.0335,0.8090,0.0094,28.3165
292,TTB8-8,292,36,32181.1408,0.8070,0.8408,0.0338,0.8245,0.0089,29.6805
293,TTB8-9,293,37,33075.0614,0.8037,0.8397,0.0360,0.8218,0.0098,30.4062
294,TTA1-1,294,33,29499.3791,0.5099,0.5375,0.0276,0.5237,0.0080,17.2818
295,TTA1-2,295,36,32181.1408,0.4587,0.4933,0.0346,0.4776,0.0093,17.1940
296,TTA1-3,296,26,23241.9350,0.4048,0.4361,0.0313,0.4210,0.0102,10.9449
297,TTA1-4,297,28,25029.7762,0.4059,0.4383,0.0325,0.4222,0.0103,11.8210
298,TTA1-5,298,35,31287.2202,0.4583,0.4946,0.0363,0.4767,0.0103,16.6848
299,TTA1-6,299,32,28605.4585,0.5162,0.5435,0.0273,0.5300,0.0082,16.9605
300,TTA1-7,300,35,31287.2202,0.5537,0.5815,0.0278,0.5670,0.0079,19.8454
301,TTA2-1,301,32,28605.4585,0.5063,0.5293,0.0230,0.5177,0.0069,16.5653
302,TTA2-2,302,31,27711.5379,0.4740,0.5006,0.0267,0.4887,0.0074,15.1484
303,TTA2-3,303,35,31287.2202,0.5020,0.5227,0.0207,0.5133,0.0055,17.9662
304,TTA2-4,304,35,31287.2202,0.5307,0.5437,0.0130,0.5380,0.0036,18.8311
305,TTA2-5,305,36,32181.1408,0.5510,0.5629,0.0119,0.5568,0.0033,20.0452
306,TTA2-6,306,35,31287.2202,0.5703,0.5851,0.0148,0.5776,0.0040,20.2168
307,TTA3-1,307,23,20560.1733,0.5739,0.5913,0.0174,0.5816,0.0050,13.3768
308,TTA3-2,308,32,28605.4585,0.5566,0.5817,0.0251,0.5693,0.0071,18.2177
309,TTA3-3,309,35,31287.2202,0.5288,0.5594,0.0306,0.5443,0.0082,19.0502
310,TTA3-4,310,36,32181.1408,0.4773,0.5136,0.0364,0.4951,0.0095,17.8229
311,TTA3-5,311,35,31287.2202,0.4296,0.4659,0.0363,0.4474,0.0104,15.6601
312,TTA3-6,312,35,31287.2202,0.4082,0.4458,0.0376,0.4278,0.0109,14.9739
313,TTA3-7,313,32,28605.4585,0.3482,0.3877,0.0394,0.3679,0.0108,11.7732
314,TTA5-1,314,34,30393.2997,0.7504,0.7982,0.0478,0.7739,0.0130,26.3119
315,TTA5-2,315,32,28605.4585,0.6706,0.7187,0.0481,0.6948,0.0133,22.2335
316,TTA5-3,316,36,32181.1408,0.5863,0.6390,0.0527,0.6133,0.0143,22.0775
317,TTA5-4,317,36,32181.1408,0.5077,0.5616,0.0540,0.5353,0.0147,19.2699
318,TTA5-5,318,37,33075.0614,0.4422,0.4978,0.0557,0.4699,0.0151,17.3873
319,TTA5-6,319,34,30393.2997,0.3676,0.4167,0.0491,0.3920,0.0132,13.3270
320,TTA5-7,320,37,33075.0614,0.2822,0.3315,0.0493,0.3065,0.0134,11.3417
321,TTA5-8,321,35,31287.2202,0.2295,0.2747,0.0452,0.2522,0.0123,8.8261
322,TTA6-1,322,32,28605.4585,0.7327,0.7723,0.0395,0.7526,0.0119,24.0821
323,TTA6-2,323,36,32181.1408,0.6766,0.7193,0.0427,0.6980,0.0130,25.1287
324,TTA6-3,324,35,31287.2202,0.5911,0.6435,0.0523,0.6164,0.0142,21.5733
325,TTA6-4,325,37,33075.0614,0.5081,0.5598,0.0517,0.5338,0.0143,19.7503
326,TTA6-5,326,36,32181.1408,0.4222,0.4741,0.0519,0.4464,0.0139,16.0692
327,TTA6-6,327,36,32181.1408,0.3432,0.3948,0.0516,0.3695,0.0144,13.3033
