Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
24,TUB1-12,24,233,208300.347462527628522,0,40,40,25.746781115879827,18.624832295910807,5999.000000000000000,4,39,38,39
25,TUB1-13,25,224,200254.411294447170803,0,40,40,23.156250000000000,19.159519646388766,5187.000000000000000,4,0,38,38
26,TUA2-1,26,154,137674.907764932431746,38,40,2,39.220779220779221,0.561153187025186,6040.000000000000000,3,39,38,39
27,TUA2-2,27,33,29501.765949628377712,38,39,1,38.484848484848484,0.499770378862740,1270.000000000000000,2,38,39,38
28,TUA2-3,28,42,37547.702117708839069,38,39,1,38.285714285714285,0.451753951452598,1608.000000000000000,2,38,39,38
29,TUA2-4,29,113,101021.198554788075853,38,39,1,38.318584070796462,0.465927312604901,4330.000000000000000,2,38,39,38
30,TUA2-5,30,121,108173.141815304043121,38,39,1,38.157024793388430,0.363824143852217,4617.000000000000000,2,38,39,38
31,TUA2-6,31,174,155554.765916222357191,38,39,1,38.178160919540232,0.382648149464535,6643.000000000000000,2,38,39,38
32,TUA2-7,32,171,152872.787193528871285,37,39,2,38.532163742690059,0.532966427605308,6589.000000000000000,3,39,37,39
33,TUA2-8,33,204,182374.553143157245358,37,39,2,38.431372549019606,0.686134439487132,7840.000000000000000,3,39,37,39
34,TUA2-9,34,185,165388.687899431795813,37,40,3,38.464864864864865,0.838343352292537,7116.000000000000000,4,39,40,39
35,TUA2-10,35,176,157342.751731351338094,37,39,2,37.937500000000000,0.632062371059289,6677.000000000000000,3,38,39,38
36,TUA2-11,36,120,107279.148907739552669,38,39,1,38.366666666666667,0.481894409826715,4604.000000000000000,2,38,39,38
37,TUA2-12,37,157,140356.886487625917653,38,39,1,38.388535031847134,0.487417234897096,6027.000000000000000,2,38,39,38
38,TUB2-1,38,26,23243.815596676900896,38,39,1,38.961538461538460,0.192307692307748,1013.000000000000000,2,39,38,39
39,TUB2-2,39,84,75095.404235417678137,38,39,1,38.773809523809526,0.418363890257286,3257.000000000000000,2,39,38,39
40,TUB2-3,40,130,116219.077983384515392,38,39,1,38.638461538461542,0.480446045219123,5023.000000000000000,2,39,38,39
41,TUB2-4,41,168,150190.808470835356275,38,39,1,38.690476190476190,0.462297329498761,6500.000000000000000,2,39,38,39
42,TUB2-5,42,180,160918.723361609329004,38,39,1,38.661111111111111,0.473332029210636,6959.000000000000000,2,39,38,39
43,TUB2-6,43,88,78671.375865675669047,38,39,1,38.022727272727273,0.149032693734086,3346.000000000000000,2,38,39,38
44,TUB2-7,44,45,40229.680840402332251,38,38,0,38.000000000000000,0.000000000000000,1710.000000000000000,1,38,38,38
45,TUB2-8,45,47,42017.666655531320430,38,38,0,38.000000000000000,0.000000000000000,1786.000000000000000,1,38,38,38
46,TUA3-1,46,167,149296.815563270880375,38,39,1,38.431137724550901,0.495235284506121,6418.000000000000000,2,38,39,38
47,TUA3-2,47,203,181480.560235592740355,38,39,1,38.477832512315274,0.499508360780490,7811.000000000000000,2,38,39,38
48,TUA3-3,48,208,185950.524773415207164,38,39,1,38.543269230769234,0.498124255250208,8017.000000000000000,2,39,38,39
49,TUA3-4,49,203,181480.560235592740355,38,39,1,38.586206896551722,0.492512305416909,7833.000000000000000,2,39,38,39
50,TUA3-5,50,222,198466.425479318160797,38,39,1,38.549549549549546,0.497538784558054,8558.000000000000000,2,39,38,39
51,TUA3-6,51,247,220816.248168430582155,38,39,1,38.465587044534416,0.498814342712835,9501.000000000000000,2,38,39,38
52,TUA3-7,52,226,202042.397109576151706,38,39,1,38.362831858407077,0.480816909989635,8670.000000000000000,2,38,39,38
53,TUA3-8,53,214,191314.482218802208081,38,39,1,38.299065420560744,0.457848550053008,8196.000000000000000,2,38,39,38
54,TUA3-9,54,236,210982.326185221114429,38,39,1,38.169491525423730,0.375185485104740,9008.000000000000000,2,38,39,38
55,TUA3-10,55,223,199360.418386882665800,38,39,1,38.017937219730939,0.132723305712554,8478.000000000000000,2,38,39,38
56,TUA3-11,56,248,221710.241075995058054,38,38,0,38.000000000000000,0.000000000000000,9424.000000000000000,1,38,38,38
57,TUB3-2,57,10,8939.929075644962722,38,38,0,38.000000000000000,0.000000000000000,380.000000000000000,1,38,38,38
58,TUB3-3,58,37,33077.737579886357707,38,38,0,38.000000000000000,0.000000000000000,1406.000000000000000,1,38,38,38
59,TUB3-4,59,61,54533.567361434274062,38,38,0,38.000000000000000,0.000000000000000,2318.000000000000000,1,38,38,38
60,TUB3-5,60,81,72413.425512724192231,38,38,0,38.000000000000000,0.000000000000000,3078.000000000000000,1,38,38,38
61,TUB3-6,61,78,69731.446790030706325,38,38,0,38.000000000000000,0.000000000000000,2964.000000000000000,1,38,38,38
62,TUB3-7,62,38,33971.730487450855435,38,38,0,38.000000000000000,0.000000000000000,1444.000000000000000,1,38,38,38
63,TUB3-8,63,121,108173.141815304043121,38,38,0,38.000000000000000,0.000000000000000,4598.000000000000000,1,38,38,38
64,TUB3-9,64,79,70625.439697595196776,38,38,0,38.000000000000000,0.000000000000000,3002.000000000000000,1,38,38,38
65,TUB3-10,65,126,112643.106353126524482,38,38,0,38.000000000000000,0.000000000000000,4788.000000000000000,1,38,38,38
66,TUB3-11,66,107,95657.241109401104040,38,38,0,38.000000000000000,0.000000000000000,4066.000000000000000,1,38,38,38
67,TUB3-12,67,103,92081.269479143113131,38,38,0,38.000000000000000,0.000000000000000,3914.000000000000000,1,38,38,38
68,TDA1-1,68,3506,3134339.133921124041080,0,43,43,34.174843126069597,12.903320139074399,119817.000000000000000,4,39,37,39
69,TDA1-2,69,233,208300.347462527628522,0,39,39,36.948497854077253,7.029484799175600,8609.000000000000000,4,39,38,39
70,TDA1-3,70,224,200254.411294447170803,0,39,39,37.209821428571431,5.697406362005991,8335.000000000000000,4,39,0,38
71,TDA1-4,71,212,189526.496403673198074,37,39,2,37.745283018867923,0.896127104726105,8002.000000000000000,3,37,38,37
72,TDA1-5,72,253,226180.205613817553967,37,39,2,37.687747035573125,0.898685944102523,9535.000000000000000,3,37,38,37
73,TDA1-6,73,234,209194.340370092133526,37,39,2,37.461538461538460,0.692307692307775,8766.000000000000000,3,37,39,37
74,TDA1-7,74,232,207406.354554963123519,37,39,2,37.426724137931032,0.690933621072160,8683.000000000000000,3,37,39,37
75,TDA1-8,75,214,191314.482218802208081,37,39,2,37.373831775700936,0.596302696857953,7998.000000000000000,3,37,39,37
76,TDA1-9,76,206,184162.538958286226261,37,39,2,37.650485436893206,0.656686857207130,7756.000000000000000,3,37,39,38
77,TDA1-10,77,212,189526.496403673198074,37,39,2,37.745283018867923,0.659635702128762,8002.000000000000000,3,38,39,38
78,TDA1-11,78,228,203830.382924705132609,36,39,3,37.280701754385966,0.713390372327890,8500.000000000000000,4,37,39,37
79,TDB1-1,79,846,756317.999799563782290,0,43,43,26.594562647754138,20.418955147128578,22499.000000000000000,3,43,39,43
80,TDB1-2,80,238,212770.312000350095332,0,43,43,20.037815126050422,21.434937676828433,4769.000000000000000,3,0,39,0
81,TDB1-3,81,241,215452.290723043610342,0,43,43,18.020746887966805,21.216616077555990,4343.000000000000000,2,0,43,0
82,TDB1-4,82,228,203830.382924705132609,0,43,43,12.258771929824562,19.412617127914555,2795.000000000000000,2,0,43,0
83,TDB1-5,83,147,131416.957411980954930,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
84,TDB1-6,84,106,94763.248201836599037,0,39,39,9.424528301886792,16.533526894463680,999.000000000000000,3,0,39,0
85,TDB1-7,85,130,116219.077983384515392,0,39,39,29.469230769230769,16.146058562404377,3831.000000000000000,3,38,0,38
86,TDB1-8,86,41,36653.709210144348617,38,39,1,38.682926829268290,0.465336195813219,1586.000000000000000,2,39,38,39
87,TDB1-9,87,83,74201.411327853187686,38,39,1,38.554216867469883,0.497051839632125,3200.000000000000000,2,39,38,39
88,TDB1-10,88,120,107279.148907739552669,38,39,1,38.350000000000001,0.476969600708371,4602.000000000000000,2,38,39,38
89,TDA2-1,89,219,195784.446756624674890,36,38,2,36.858447488584474,0.789809156031004,8072.000000000000000,3,36,38,37
90,TDA2-2,90,218,194890.453849060169887,36,39,3,37.110091743119263,0.896879908106446,8090.000000000000000,4,38,39,37
91,TDA2-3,91,213,190420.489311237703077,36,38,2,36.732394366197184,0.762213476908825,7824.000000000000000,3,36,38,37
92,TDA2-4,92,189,168964.659529689786723,36,37,1,36.502645502645500,0.499993001266828,6899.000000000000000,2,37,36,37
93,TDA2-5,93,229,204724.375832269637613,36,38,2,36.742358078602621,0.704939300671579,8414.000000000000000,3,37,38,37
94,TDA2-6,94,237,211876.319092785619432,36,38,2,36.932489451476791,0.726008192418323,8753.000000000000000,3,37,38,37
95,TDA2-7,95,246,219922.255260866077151,36,38,2,37.211382113821138,0.671753348563334,9154.000000000000000,3,37,36,37
96,TDA2-8,96,221,197572.432571753684897,36,38,2,36.891402714932127,0.650073665016012,8153.000000000000000,3,37,38,37
97,TDA2-9,97,88,78671.375865675669047,36,37,1,36.181818181818180,0.385694607919974,3184.000000000000000,2,36,37,36
98,TDA2-10,98,164,146614.836840577394469,36,37,1,36.341463414634148,0.474200538907723,5960.000000000000000,2,36,37,36
99,TDB2-1,99,363,324519.425445912114810,39,43,4,39.055096418732781,0.466208171929737,14177.000000000000000,2,39,43,39
100,TDB2-2,100,162,144826.851025448384462,39,43,4,39.049382716049379,0.441692440000134,6326.000000000000000,2,39,43,39
101,TDB2-3,101,128,114431.092168255519937,39,39,0,39.000000000000000,0.000000000000000,4992.000000000000000,1,39,39,39
102,TDB2-4,102,147,131416.957411980954930,36,39,3,38.353741496598637,1.135708122705330,5638.000000000000000,3,39,38,39
103,TDB2-5,103,211,188632.503496108722175,36,39,3,37.824644549763036,1.285190616620110,7981.000000000000000,4,39,37,38
104,TDB2-6,104,215,192208.475126366683980,36,39,3,37.427906976744183,1.262394472936373,8047.000000000000000,4,36,37,38
