Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
47,TUA3-2,47,111,106999.926498880551662,568,664,96,611.189189189189165,19.869626199013432,67842.000000000000000,59,612,568,613
48,TUA3-3,48,108,104108.036593505414203,583,670,87,620.435185185185219,18.409575380936918,67007.000000000000000,54,630,583,620
49,TUA3-4,49,99,95432.366877379958169,591,669,78,626.000000000000000,17.420526613014530,61974.000000000000000,51,600,591,626
50,TUA3-5,50,107,103144.073291713692015,599,675,76,636.252336448598157,18.729802059691604,68079.000000000000000,57,632,600,636
51,TUA3-6,51,119,114711.632913214285509,606,686,80,647.974789915966426,19.046366328882559,77109.000000000000000,60,646,606,649
52,TUA3-7,52,108,104108.036593505414203,618,689,71,654.231481481481524,17.738640852294505,70657.000000000000000,50,646,618,653
53,TUA3-8,53,102,98324.256782755110180,622,700,78,659.323529411764753,18.517697822387341,67251.000000000000000,57,647,624,658
54,TUA3-9,54,113,108927.853102463996038,632,713,81,667.778761061946852,18.351887131761366,75459.000000000000000,56,672,632,667
55,TUA3-10,55,103,99288.220084546817816,626,720,94,672.000000000000000,21.849440685116569,69216.000000000000000,54,668,626,673
56,TUA3-11,56,115,110855.779706047425861,625,729,104,678.913043478260875,26.051642764655529,78075.000000000000000,64,676,625,678
57,TUB3-1,57,32,30846.825657334935386,594,665,71,639.187500000000000,20.499142512554030,20454.000000000000000,26,661,594,642
58,TUB3-2,58,43,41450.421977043821244,604,672,68,631.302325581395394,20.656138097507313,27146.000000000000000,30,615,604,627
59,TUB3-3,59,61,58801.761409294718760,585,670,85,634.278688524590166,20.018950978511242,38691.000000000000000,42,623,585,636
60,TUB3-4,60,65,62657.614616461585683,578,679,101,629.953846153846143,28.259473983471409,40947.000000000000000,49,638,578,629
61,TUB3-5,61,69,66513.467823628452606,576,680,104,636.086956521739125,29.069002929529098,43890.000000000000000,47,596,576,633
62,TUB3-6,62,70,67477.431125420174794,577,681,104,641.942857142857179,27.582544021425203,44936.000000000000000,47,662,577,647
63,TUB3-7,63,43,41450.421977043821244,624,686,62,658.046511627906966,15.350105655832525,28296.000000000000000,29,656,624,656
64,TUB3-8,64,84,80972.917350504198112,577,714,137,651.357142857142890,36.260185057555042,54714.000000000000000,63,681,577,652
65,TUB3-9,65,64,61693.651314669870771,596,718,122,675.203125000000000,32.640647438958297,43213.000000000000000,44,696,596,688
66,TUB3-10,66,80,77117.064143337338464,584,725,141,674.412500000000023,40.500214119803665,53953.000000000000000,57,697,584,686
67,TUB3-11,67,73,70369.321030795326806,625,815,190,721.876712328767098,46.443645393211838,52697.000000000000000,52,710,625,714
